id,nbr_children,career,shopping_price,cloths,underwear,sportswear,accessories
500,0.0,Occupational Therapist,255.0,29,26,194,6
501,0.0,Budget/Accounting Analyst II,356.0,212,29,107,8
502,2.0,Tax Accountant,270.0,24,37,201,8
503,0.0,Social Worker,392.0,102,32,252,6
504,5.0,Research Assistant IV,329.0,199,14,98,18
505,5.0,GIS Technical Architect,353.0,109,25,206,13
506,2.0,VP Accounting,407.0,129,15,252,11
507,3.0,Recruiter,512.0,243,6,244,19
508,3.0,Senior Developer,339.0,195,17,125,2
509,4.0,Research Assistant II,277.0,124,8,129,16
510,0.0,Account Representative III,494.0,218,20,236,20
511,5.0,Project Manager,262.0,54,44,157,7
512,2.0,Pharmacist,275.0,144,44,79,8
513,0.0,Web Developer IV,221.0,131,14,59,17
514,2.0,Account Coordinator,271.0,76,30,157,8
515,1.0,Editor,312.0,54,10,235,13
516,4.0,Safety Technician I,330.0,101,19,190,20
517,2.0,Graphic Designer,507.0,206,48,249,4
518,1.0,Automation Specialist I,391.0,144,14,229,4
519,2.0,Product Engineer,336.0,100,26,201,9
520,2.0,Structural Engineer,271.0,128,13,121,9
521,3.0,Paralegal,400.0,155,12,223,10
522,2.0,Editor,335.0,68,20,243,4
523,0.0,Help Desk Operator,367.0,241,41,78,7
524,0.0,Automation Specialist III,314.0,245,8,57,4
525,3.0,Help Desk Technician,264.0,147,44,59,14
526,4.0,Nurse Practicioner,384.0,155,20,202,7
527,4.0,Registered Nurse,394.0,210,20,161,3
528,1.0,Director of Sales,448.0,246,15,171,16
529,5.0,Senior Editor,296.0,184,14,95,3
530,2.0,Programmer II,136.0,54,10,64,8
531,1.0,Junior Executive,426.0,151,25,243,7
532,0.0,Account Coordinator,479.0,140,48,281,10
533,1.0,Junior Executive,308.0,183,17,106,2
534,4.0,Product Engineer,333.0,205,37,85,6
535,4.0,Dental Hygienist,170.0,21,21,126,2
536,2.0,Pharmacist,387.0,156,50,171,10
537,5.0,Dental Hygienist,281.0,177,37,51,16
538,2.0,Financial Advisor,200.0,89,37,55,19
539,1.0,Research Associate,393.0,167,6,216,4
540,2.0,Programmer Analyst II,303.0,158,13,120,12
541,5.0,Geological Engineer,210.0,50,6,143,11
542,5.0,Executive Secretary,410.0,178,33,189,10
543,3.0,Nurse,391.0,81,36,268,6
544,3.0,Administrative Assistant III,151.0,55,26,58,12
545,5.0,Administrative Assistant III,304.0,83,25,191,5
546,2.0,Senior Editor,213.0,51,30,122,10
547,1.0,Graphic Designer,422.0,140,31,243,8
548,1.0,Automation Specialist III,382.0,179,9,180,14
549,1.0,Quality Control Specialist,398.0,43,39,300,16
550,5.0,Software Engineer II,377.0,154,5,208,10
551,2.0,Business Systems Development Analyst,184.0,56,33,77,18
552,1.0,Research Nurse,442.0,228,11,196,7
553,3.0,Structural Engineer,461.0,207,39,206,9
554,5.0,Teacher,425.0,211,37,163,14
555,1.0,Senior Developer,278.0,89,14,159,16
556,5.0,Media Manager I,167.0,55,44,48,20
557,0.0,Information Systems Manager,559.0,229,20,292,18
558,1.0,Environmental Tech,247.0,119,50,62,16
559,4.0,Librarian,425.0,219,36,167,3
560,0.0,Sales Associate,172.0,71,40,59,2
561,5.0,Executive Secretary,325.0,109,9,195,12
562,2.0,Research Assistant II,291.0,50,10,212,19
563,2.0,Desktop Support Technician,248.0,126,33,69,20
564,2.0,Speech Pathologist,416.0,206,14,187,9
565,0.0,Staff Accountant II,287.0,59,31,186,11
566,1.0,Computer Systems Analyst II,275.0,181,5,71,18
567,0.0,Chief Design Engineer,292.0,66,11,210,5
568,2.0,Clinical Specialist,320.0,202,43,57,18
569,2.0,Marketing Manager,426.0,85,44,290,7
570,1.0,Occupational Therapist,315.0,45,13,237,20
571,4.0,Account Representative III,544.0,221,39,281,3
572,5.0,Administrative Assistant IV,359.0,171,28,148,12
573,2.0,Software Test Engineer III,277.0,182,15,70,10
574,4.0,Data Coordiator,159.0,70,12,73,4
575,3.0,Data Coordiator,346.0,204,37,100,5
576,5.0,Quality Engineer,363.0,202,18,123,20
577,4.0,Desktop Support Technician,434.0,165,28,227,14
578,0.0,Nuclear Power Engineer,367.0,135,31,192,9
579,2.0,Account Executive,151.0,23,5,103,20
580,0.0,Geological Engineer,548.0,234,27,270,17
581,4.0,Editor,269.0,185,24,53,7
582,3.0,Cost Accountant,274.0,60,26,179,9
583,3.0,Developer III,300.0,182,14,99,5
584,3.0,Developer II,290.0,77,43,167,3
585,2.0,Associate Professor,338.0,149,31,152,6
586,4.0,Research Associate,529.0,209,15,290,15
587,5.0,Associate Professor,173.0,87,32,49,5
588,2.0,Technical Writer,345.0,68,43,216,18
589,0.0,Human Resources Manager,343.0,42,29,268,4
590,0.0,Analyst Programmer,265.0,76,37,148,4
591,4.0,Account Representative IV,550.0,212,34,284,20
592,5.0,Safety Technician I,243.0,83,48,95,17
593,4.0,Clinical Specialist,329.0,113,29,177,10
594,4.0,Assistant Manager,340.0,64,8,259,9
595,0.0,Biostatistician IV,489.0,243,29,197,20
596,1.0,Budget/Accounting Analyst IV,507.0,223,46,234,4
597,1.0,Senior Developer,193.0,71,12,106,4
598,2.0,Senior Editor,344.0,83,12,231,18
599,1.0,Occupational Therapist,172.0,41,23,105,3
600,2.0,Design Engineer,416.0,239,8,153,16
601,3.0,Chief Design Engineer,466.0,216,32,216,2
602,5.0,Librarian,442.0,170,36,225,11
603,0.0,Senior Sales Associate,431.0,165,40,221,5
604,1.0,Assistant Media Planner,330.0,120,32,164,14
605,0.0,Junior Executive,251.0,55,11,180,5
606,2.0,Accountant IV,163.0,47,21,78,17
607,3.0,Office Assistant II,432.0,174,49,193,16
608,1.0,Physical Therapy Assistant,301.0,93,14,188,6
609,1.0,Human Resources Manager,319.0,51,11,253,4
610,2.0,Legal Assistant,289.0,126,26,123,14
611,2.0,Administrative Assistant III,535.0,228,48,244,15
612,1.0,Engineer IV,317.0,99,37,166,15
613,2.0,Teacher,289.0,39,25,205,20
614,3.0,Software Test Engineer IV,157.0,45,19,84,9
615,0.0,General Manager,503.0,168,41,283,11
616,2.0,Programmer Analyst IV,372.0,162,10,182,18
617,5.0,Mechanical Systems Engineer,406.0,148,36,204,18
618,1.0,Paralegal,353.0,215,33,101,4
619,1.0,Sales Representative,184.0,81,29,72,2
620,5.0,Tax Accountant,216.0,61,45,96,14
621,2.0,Assistant Media Planner,403.0,149,40,212,2
622,1.0,Geological Engineer,427.0,247,18,144,18
623,3.0,Nuclear Power Engineer,296.0,80,48,157,11
624,4.0,Assistant Media Planner,454.0,221,42,184,7
625,1.0,Software Engineer IV,123.0,37,10,67,9
626,3.0,Administrative Officer,274.0,52,20,182,20
627,0.0,Assistant Manager,303.0,194,33,66,10
628,0.0,Operator,258.0,111,31,111,5
629,0.0,Statistician I,462.0,246,41,156,19
630,4.0,Environmental Specialist,368.0,69,49,246,4
631,1.0,Design Engineer,237.0,30,46,141,20
632,5.0,Programmer Analyst II,323.0,103,24,194,2
633,3.0,Safety Technician III,469.0,149,30,271,19
634,0.0,Staff Accountant I,426.0,225,11,178,12
635,2.0,Associate Professor,168.0,26,11,111,20
636,2.0,Dental Hygienist,297.0,138,29,126,4
637,5.0,Sales Representative,471.0,180,38,243,10
638,3.0,VP Sales,86.0,21,7,50,8
639,3.0,Tax Accountant,372.0,120,38,195,19
640,3.0,Web Developer II,233.0,46,43,131,13
641,0.0,VP Product Management,449.0,249,26,161,13
642,5.0,Sales Associate,392.0,101,37,236,18
643,1.0,Research Assistant III,344.0,209,11,122,2
644,1.0,Structural Analysis Engineer,378.0,205,39,132,2
645,2.0,Account Coordinator,352.0,126,5,214,7
646,5.0,Software Engineer IV,282.0,133,16,118,15
647,1.0,Information Systems Manager,278.0,57,49,165,7
648,0.0,Executive Secretary,217.0,60,5,142,10
649,0.0,Programmer IV,280.0,181,35,51,13
650,5.0,Sales Representative,244.0,90,38,99,17
651,2.0,Human Resources Assistant I,240.0,107,36,89,8
652,5.0,Budget/Accounting Analyst II,318.0,37,39,223,19
653,1.0,Administrative Assistant II,388.0,228,30,113,17
654,1.0,Geological Engineer,455.0,170,25,248,12
655,2.0,Desktop Support Technician,531.0,184,46,290,11
656,3.0,Business Systems Development Analyst,336.0,213,10,105,8
657,4.0,Statistician II,384.0,90,15,271,8
658,5.0,Senior Sales Associate,354.0,113,34,190,17
659,2.0,Civil Engineer,533.0,191,22,300,20
660,1.0,Actuary,320.0,184,14,116,6
661,3.0,Community Outreach Specialist,345.0,153,8,173,11
662,3.0,Mechanical Systems Engineer,249.0,137,10,100,2
663,5.0,Quality Engineer,360.0,210,6,137,7
664,1.0,VP Product Management,472.0,230,20,214,8
665,3.0,Editor,267.0,25,17,209,16
666,4.0,Staff Accountant III,361.0,202,13,132,14
667,5.0,Librarian,178.0,60,26,82,10
668,3.0,Help Desk Technician,295.0,38,42,201,14
669,3.0,Actuary,261.0,115,31,111,4
670,2.0,Help Desk Operator,276.0,38,49,174,15
671,1.0,Civil Engineer,378.0,179,9,171,19
672,5.0,Help Desk Operator,418.0,98,47,264,9
673,2.0,Desktop Support Technician,240.0,75,18,140,7
674,4.0,Nurse,513.0,245,23,232,13
675,0.0,Business Systems Development Analyst,426.0,148,18,247,13
676,1.0,Assistant Manager,379.0,160,11,205,3
677,5.0,Nurse,408.0,190,26,188,4
678,0.0,Librarian,403.0,242,28,128,5
679,5.0,Cost Accountant,420.0,166,29,213,12
680,5.0,Engineer IV,335.0,33,35,262,5
681,1.0,Human Resources Assistant IV,340.0,238,28,56,18
682,4.0,Assistant Manager,510.0,160,49,281,20
683,0.0,Geologist IV,232.0,72,20,129,11
684,1.0,Recruiting Manager,331.0,163,26,124,18
685,0.0,Senior Financial Analyst,274.0,121,8,127,18
686,1.0,Web Developer II,357.0,93,10,236,18
687,1.0,Physical Therapy Assistant,194.0,74,33,85,2
688,4.0,Systems Administrator I,484.0,241,37,204,2
689,3.0,Speech Pathologist,262.0,31,21,200,10
690,3.0,Account Representative I,436.0,119,31,280,6
691,0.0,Account Executive,401.0,79,48,269,5
692,4.0,GIS Technical Architect,437.0,185,45,201,6
693,5.0,Health Coach I,351.0,34,14,298,5
694,1.0,Staff Scientist,291.0,152,44,75,20
695,2.0,Product Engineer,498.0,236,30,230,2
696,2.0,Dental Hygienist,209.0,51,21,130,7
697,2.0,Accounting Assistant I,251.0,105,27,105,14
698,3.0,Office Assistant I,145.0,33,47,50,15
699,4.0,Clinical Specialist,176.0,45,31,91,9
700,1.0,Budget/Accounting Analyst I,309.0,170,5,116,18
701,3.0,Professor,218.0,65,29,107,17
702,3.0,Media Manager II,343.0,39,33,269,2
703,2.0,Statistician IV,301.0,146,49,93,13
704,5.0,VP Sales,257.0,136,13,106,2
705,1.0,Programmer Analyst I,328.0,201,44,76,7
706,4.0,Software Consultant,280.0,92,23,146,19
707,5.0,VP Marketing,358.0,51,8,281,18
708,0.0,Sales Associate,383.0,88,17,269,9
709,2.0,Information Systems Manager,288.0,22,38,225,3
710,4.0,VP Quality Control,270.0,123,29,113,5
711,0.0,Information Systems Manager,245.0,121,18,89,17
712,1.0,Assistant Manager,290.0,133,30,114,13
713,4.0,Programmer II,283.0,86,28,165,4
714,0.0,Engineer III,105.0,28,11,63,3
715,3.0,Recruiter,254.0,139,42,54,19
716,0.0,Actuary,435.0,128,42,259,6
717,4.0,Structural Engineer,425.0,119,38,260,8
718,4.0,Assistant Professor,436.0,172,31,229,4
719,1.0,Research Assistant I,234.0,42,7,167,18
720,4.0,Design Engineer,227.0,117,22,86,2
721,1.0,Research Nurse,569.0,242,50,257,20
722,5.0,Internal Auditor,199.0,113,7,75,4
723,5.0,Speech Pathologist,371.0,98,24,242,7
724,2.0,Quality Control Specialist,261.0,121,38,88,14
725,0.0,Financial Advisor,304.0,128,5,168,3
726,3.0,Assistant Professor,318.0,232,13,64,9
727,1.0,Engineer II,481.0,168,39,265,9
728,5.0,Marketing Manager,370.0,102,10,243,15
729,4.0,Teacher,409.0,142,19,244,4
730,0.0,Budget/Accounting Analyst III,503.0,217,48,228,10
731,1.0,Product Engineer,230.0,146,27,55,2
732,2.0,Account Representative II,405.0,189,49,148,19
733,1.0,Software Consultant,215.0,32,26,146,11
734,0.0,Assistant Professor,276.0,32,29,198,17
735,3.0,Administrative Officer,175.0,31,12,125,7
736,1.0,Nurse Practicioner,280.0,142,27,101,10
737,4.0,Graphic Designer,311.0,90,8,201,12
738,5.0,Staff Accountant IV,145.0,52,12,64,17
739,0.0,Civil Engineer,470.0,167,8,275,20
740,1.0,Biostatistician IV,160.0,52,8,86,14
741,3.0,Administrative Assistant II,303.0,24,12,256,11
742,3.0,Account Executive,383.0,37,48,286,12
743,1.0,Senior Cost Accountant,414.0,216,5,181,12
744,2.0,Sales Associate,562.0,234,28,296,4
745,1.0,Assistant Manager,304.0,240,9,49,6
746,0.0,Actuary,342.0,130,39,163,10
747,3.0,Senior Financial Analyst,218.0,132,11,66,9
748,1.0,Health Coach IV,386.0,235,31,115,5
749,4.0,VP Quality Control,349.0,104,50,186,9
750,4.0,Administrative Officer,530.0,236,11,275,8
751,3.0,Registered Nurse,270.0,142,38,78,12
752,1.0,Structural Analysis Engineer,398.0,209,29,148,12
753,1.0,Speech Pathologist,244.0,160,6,60,18
754,3.0,Recruiter,344.0,210,39,84,11
755,0.0,Staff Accountant I,372.0,22,47,300,3
756,4.0,Help Desk Operator,330.0,149,46,128,7
757,0.0,Mechanical Systems Engineer,435.0,233,35,152,15
758,5.0,Research Assistant II,366.0,129,50,178,9
759,5.0,Information Systems Manager,442.0,170,9,256,7
760,0.0,VP Quality Control,473.0,164,33,274,2
761,1.0,Help Desk Operator,471.0,149,48,265,9
762,3.0,Chemical Engineer,302.0,122,42,120,18
763,2.0,Web Designer III,517.0,250,22,241,4
764,2.0,Senior Financial Analyst,415.0,166,14,218,17
765,4.0,Engineer I,276.0,53,26,177,20
766,4.0,Desktop Support Technician,235.0,134,11,75,15
767,4.0,Data Coordiator,323.0,152,40,114,17
768,0.0,Community Outreach Specialist,468.0,231,47,174,16
769,4.0,Geological Engineer,465.0,199,50,197,19
770,2.0,Database Administrator II,309.0,224,22,56,7
771,4.0,Recruiter,197.0,101,23,66,7
772,5.0,Computer Systems Analyst II,325.0,92,49,181,3
773,1.0,Database Administrator III,204.0,73,48,77,6
774,1.0,Professor,281.0,167,45,53,16
775,2.0,Account Executive,340.0,57,9,266,8
776,1.0,Senior Quality Engineer,335.0,190,42,97,6
777,0.0,Junior Executive,193.0,57,27,100,9
778,2.0,Data Coordiator,355.0,131,13,208,3
779,5.0,Staff Scientist,258.0,77,10,165,6
780,3.0,Structural Analysis Engineer,374.0,64,42,250,18
781,3.0,Sales Associate,514.0,174,33,293,14
782,1.0,Senior Editor,356.0,231,41,77,7
783,0.0,Nurse,426.0,218,14,177,17
784,2.0,Assistant Media Planner,200.0,112,29,45,14
785,1.0,Senior Developer,284.0,169,11,88,16
786,2.0,Physical Therapy Assistant,382.0,208,46,110,18
787,4.0,General Manager,380.0,174,23,167,16
788,4.0,Senior Cost Accountant,327.0,43,49,223,12
789,4.0,Programmer Analyst IV,475.0,231,41,186,17
790,1.0,Registered Nurse,260.0,73,12,159,16
791,1.0,Web Designer I,224.0,103,38,65,18
792,3.0,Quality Engineer,281.0,166,10,96,9
793,2.0,Analyst Programmer,312.0,164,45,85,18
794,5.0,Software Engineer IV,255.0,80,32,131,12
795,1.0,Technical Writer,215.0,103,7,90,15
796,3.0,Database Administrator IV,479.0,229,38,208,4
797,5.0,Senior Quality Engineer,384.0,247,25,105,7
798,2.0,Financial Analyst,342.0,29,40,253,20
799,0.0,Database Administrator I,111.0,39,17,46,9
800,5.0,Environmental Specialist,407.0,126,41,221,19
801,1.0,Teacher,434.0,209,23,187,15
802,1.0,Safety Technician I,318.0,139,20,144,15
803,0.0,Programmer Analyst I,260.0,107,28,115,10
804,4.0,VP Accounting,319.0,154,14,133,18
805,5.0,Programmer III,522.0,212,30,262,18
806,3.0,Financial Advisor,222.0,136,22,53,11
807,1.0,VP Marketing,326.0,219,30,57,20
808,5.0,Quality Control Specialist,396.0,135,24,232,5
809,3.0,Quality Engineer,326.0,167,15,131,13
810,0.0,Internal Auditor,462.0,228,15,202,17
811,0.0,Research Assistant III,407.0,172,40,183,12
812,3.0,Assistant Manager,378.0,96,5,267,10
813,0.0,Operator,403.0,128,46,214,15
814,5.0,Registered Nurse,161.0,30,8,114,9
815,0.0,Web Developer III,490.0,229,32,226,3
816,3.0,Mechanical Systems Engineer,451.0,249,46,137,19
817,3.0,Research Assistant III,367.0,249,18,91,9
818,1.0,Staff Accountant I,444.0,184,27,231,2
819,3.0,Media Manager IV,293.0,67,34,186,6
820,4.0,Data Coordiator,466.0,220,28,200,18
821,3.0,Software Engineer III,564.0,211,47,288,18
822,2.0,Community Outreach Specialist,284.0,114,42,117,11
823,0.0,Staff Scientist,337.0,78,6,242,11
824,4.0,Research Associate,429.0,137,10,279,3
825,5.0,Health Coach IV,355.0,152,17,177,9
826,1.0,Clinical Specialist,239.0,132,27,77,3
827,1.0,Environmental Tech,414.0,190,47,163,14
828,5.0,Human Resources Manager,209.0,78,30,98,3
829,1.0,Human Resources Manager,349.0,229,27,89,4
830,5.0,Director of Sales,385.0,64,17,284,20
831,4.0,Health Coach IV,154.0,49,26,60,19
832,1.0,Junior Executive,391.0,61,41,273,16
833,3.0,Human Resources Manager,271.0,58,49,160,4
834,0.0,Editor,391.0,190,29,168,4
835,4.0,VP Marketing,443.0,242,20,170,11
836,5.0,VP Sales,364.0,163,43,154,4
837,1.0,Biostatistician I,323.0,181,15,123,4
838,1.0,Graphic Designer,401.0,117,30,250,4
839,3.0,Analyst Programmer,291.0,40,42,197,12
840,2.0,Nuclear Power Engineer,141.0,43,17,63,18
841,3.0,Dental Hygienist,331.0,130,19,171,11
842,1.0,Account Coordinator,227.0,85,28,108,6
843,5.0,Quality Engineer,452.0,204,13,222,13
844,5.0,Senior Developer,497.0,222,15,250,10
845,1.0,GIS Technical Architect,506.0,248,18,227,13
846,2.0,Operator,403.0,192,13,183,15
847,4.0,Clinical Specialist,365.0,176,36,136,17
848,4.0,Analyst Programmer,148.0,23,16,107,2
849,0.0,Assistant Manager,149.0,33,44,53,19
850,5.0,Human Resources Assistant I,254.0,144,50,54,6
851,3.0,Help Desk Technician,406.0,69,34,287,16
852,4.0,Software Consultant,386.0,164,38,181,3
853,4.0,Compensation Analyst,590.0,247,26,298,19
854,1.0,Design Engineer,550.0,203,46,289,12
855,1.0,Assistant Professor,319.0,174,16,126,3
856,5.0,Programmer I,229.0,27,7,178,17
857,0.0,Associate Professor,353.0,192,8,143,10
858,1.0,Senior Quality Engineer,432.0,178,37,207,10
859,4.0,Sales Representative,311.0,137,25,129,20
860,1.0,Chief Design Engineer,167.0,74,26,56,11
861,4.0,Account Coordinator,247.0,34,7,192,14
862,2.0,Web Designer IV,378.0,102,21,241,14
863,0.0,Budget/Accounting Analyst I,174.0,30,31,96,17
864,3.0,Help Desk Technician,330.0,171,30,125,4
865,5.0,Recruiting Manager,288.0,90,9,169,20
866,5.0,Payment Adjustment Coordinator,349.0,228,26,87,8
867,5.0,Geological Engineer,535.0,199,45,281,10
868,0.0,Biostatistician I,354.0,168,32,145,9
869,3.0,Assistant Media Planner,191.0,26,44,109,12
870,1.0,Accountant III,387.0,237,25,114,11
871,4.0,Staff Scientist,393.0,229,17,130,17
872,4.0,Programmer Analyst II,397.0,217,11,153,16
873,3.0,Marketing Assistant,267.0,105,25,133,4
874,5.0,Senior Sales Associate,404.0,210,48,137,9
875,5.0,VP Product Management,375.0,56,48,258,13
876,4.0,Safety Technician II,383.0,174,9,187,13
877,1.0,Actuary,367.0,192,18,146,11
878,5.0,Developer II,293.0,64,47,175,7
879,0.0,Assistant Media Planner,358.0,52,25,275,6
880,4.0,Recruiting Manager,298.0,149,8,135,6
881,3.0,Data Coordiator,171.0,44,49,60,18
882,3.0,Nurse Practicioner,225.0,65,37,116,7
883,1.0,Chemical Engineer,464.0,131,43,286,4
884,3.0,Desktop Support Technician,494.0,227,23,239,5
885,4.0,Desktop Support Technician,386.0,118,5,243,20
886,0.0,Environmental Tech,230.0,31,36,148,15
887,2.0,Administrative Officer,262.0,40,31,189,2
888,2.0,Analyst Programmer,314.0,108,33,167,6
889,4.0,VP Quality Control,427.0,222,47,152,6
890,3.0,Nurse Practicioner,351.0,102,9,227,13
891,1.0,Staff Accountant IV,323.0,147,22,150,4
892,3.0,Help Desk Operator,561.0,247,23,285,6
893,4.0,Mechanical Systems Engineer,380.0,219,13,140,8
894,1.0,Staff Scientist,464.0,127,37,298,2
895,5.0,Senior Cost Accountant,470.0,245,6,211,8
896,0.0,Staff Scientist,509.0,163,39,289,18
897,0.0,Geologist I,366.0,77,25,250,14
898,1.0,Assistant Media Planner,386.0,234,5,144,3
899,2.0,Project Manager,238.0,38,14,176,10
900,4.0,Financial Analyst,461.0,149,30,271,11
901,2.0,Research Assistant IV,241.0,72,9,149,11
902,3.0,Community Outreach Specialist,271.0,30,18,217,6
903,4.0,Junior Executive,374.0,199,26,130,19
904,4.0,Librarian,277.0,142,38,85,12
905,4.0,Statistician I,467.0,194,47,224,2
906,3.0,Legal Assistant,242.0,147,28,63,4
907,5.0,Nuclear Power Engineer,382.0,55,40,272,15
908,1.0,Project Manager,180.0,86,16,74,4
909,0.0,Staff Accountant I,375.0,33,35,287,20
910,4.0,Help Desk Technician,344.0,41,49,247,7
911,4.0,Automation Specialist IV,376.0,242,7,125,2
912,0.0,Software Consultant,458.0,215,40,183,20
913,3.0,Structural Engineer,360.0,175,19,148,18
914,3.0,Civil Engineer,358.0,105,28,210,15
915,1.0,Assistant Manager,405.0,228,22,153,2
916,3.0,VP Marketing,498.0,242,8,231,17
917,2.0,Account Coordinator,316.0,124,26,147,19
918,3.0,Project Manager,398.0,188,10,185,15
919,0.0,Operator,333.0,101,41,180,11
920,3.0,Editor,428.0,150,14,245,19
921,5.0,Engineer IV,389.0,136,46,198,9
922,4.0,Quality Control Specialist,155.0,26,30,89,10
923,2.0,Senior Financial Analyst,411.0,96,14,295,6
924,2.0,Accountant IV,531.0,194,50,277,10
925,2.0,Software Engineer III,467.0,189,30,232,16
926,4.0,Engineer III,546.0,235,29,265,17
927,5.0,Assistant Media Planner,444.0,147,32,248,17
928,2.0,Staff Accountant II,389.0,72,30,278,9
929,0.0,Software Engineer II,406.0,202,45,142,17
930,5.0,Marketing Manager,494.0,174,42,264,14
931,4.0,Data Coordiator,332.0,222,19,83,8
932,5.0,Nurse Practicioner,339.0,55,32,233,19
933,1.0,Software Consultant,246.0,126,30,80,10
934,1.0,Web Designer III,450.0,199,11,234,6
935,3.0,Cost Accountant,443.0,158,10,270,5
936,5.0,Tax Accountant,286.0,137,27,103,19
937,0.0,Data Coordiator,234.0,25,41,166,2
938,1.0,Account Representative II,364.0,149,8,191,16
939,5.0,Help Desk Operator,368.0,102,18,228,20
940,3.0,Food Chemist,499.0,188,8,294,9
941,3.0,Senior Quality Engineer,473.0,177,37,242,17
942,3.0,Senior Quality Engineer,491.0,181,48,250,12
943,4.0,Compensation Analyst,500.0,214,25,241,20
944,2.0,Mechanical Systems Engineer,316.0,76,18,203,19
945,4.0,Financial Advisor,227.0,30,5,183,9
946,1.0,Associate Professor,342.0,63,39,220,20
947,3.0,Clinical Specialist,299.0,122,33,126,18
948,2.0,Administrative Officer,221.0,94,8,112,7
949,5.0,GIS Technical Architect,327.0,51,19,243,14
950,5.0,Health Coach I,386.0,161,10,200,15
951,5.0,Analyst Programmer,390.0,97,8,271,14
952,3.0,GIS Technical Architect,391.0,183,16,185,7
953,2.0,Developer IV,476.0,203,39,223,11
954,1.0,Business Systems Development Analyst,474.0,178,38,246,12
955,0.0,Accounting Assistant III,221.0,90,41,77,13
956,4.0,Geologist I,414.0,104,39,253,18
957,1.0,Physical Therapy Assistant,308.0,75,40,173,20
958,0.0,Social Worker,313.0,92,50,153,18
959,2.0,Automation Specialist IV,372.0,227,10,123,12
960,1.0,Paralegal,350.0,103,35,200,12
961,3.0,Teacher,253.0,92,12,131,18
962,1.0,Software Engineer I,396.0,185,40,152,19
963,0.0,Human Resources Manager,245.0,154,27,47,17
964,1.0,Computer Systems Analyst III,382.0,85,8,270,19
965,0.0,Office Assistant II,280.0,184,9,82,5
966,1.0,Compensation Analyst,197.0,23,14,154,6
967,5.0,Statistician II,354.0,223,17,112,2
968,4.0,Nurse Practicioner,381.0,88,20,261,12
969,2.0,Editor,482.0,238,41,193,10
970,1.0,Analyst Programmer,390.0,112,48,217,13
971,3.0,Accounting Assistant II,253.0,43,27,166,17
972,2.0,Structural Engineer,153.0,56,34,55,8
973,3.0,Project Manager,277.0,206,17,47,7
974,4.0,Paralegal,385.0,144,14,218,9
975,2.0,VP Quality Control,325.0,134,18,168,5
976,4.0,Senior Financial Analyst,254.0,80,28,130,16
977,4.0,Actuary,361.0,101,7,249,4
978,1.0,Chief Design Engineer,504.0,248,29,216,11
979,4.0,Senior Editor,175.0,74,43,49,9
980,0.0,Research Associate,389.0,216,20,137,16
981,5.0,Librarian,411.0,181,50,170,10
982,4.0,Executive Secretary,476.0,221,34,216,5
983,4.0,Librarian,151.0,22,15,103,11
984,5.0,Senior Cost Accountant,209.0,98,13,95,3
985,0.0,Help Desk Technician,438.0,221,9,191,17
986,1.0,Mechanical Systems Engineer,409.0,204,50,150,5
987,2.0,Senior Financial Analyst,298.0,196,44,48,10
988,2.0,Database Administrator IV,268.0,91,26,147,4
989,5.0,VP Product Management,405.0,219,5,163,18
990,2.0,Social Worker,360.0,23,23,296,18
991,4.0,Statistician IV,458.0,160,21,258,19
992,2.0,Chemical Engineer,312.0,186,32,78,16
993,0.0,Research Associate,405.0,214,31,149,11
994,2.0,Structural Analysis Engineer,441.0,132,10,282,17
995,0.0,General Manager,183.0,29,42,110,2
996,5.0,Health Coach IV,202.0,69,44,87,2
997,0.0,Geological Engineer,432.0,233,8,189,2
998,1.0,Chemical Engineer,364.0,105,28,214,17
999,5.0,Tax Accountant,284.0,125,47,99,13
1000,4.0,Design Engineer,252.0,105,15,129,3
